Filename,Genus,Species,Name of Training Set ,Data Type,Number of Specimens ,Man PC1,Man PC2,Man PC3,Man PC4,Man PC5,AI PC1,AI PC2,AI PC3,AI PC4,AI PC5
st062_bl1_fo2.tif,Menardella,exilis,T1_AI_2_Images,Original,2,-0.005197461,-0.044728877,-0.039032409,-0.011985118,0.008188173,-0.005733011,-0.045521319,-0.039364319,-0.011964418,0.008378828
st062_bl1_fo3.tif,Menardella,exilis,T1_AI_2_Images,Original,2,0.017803121,0.001226742,0.020683497,-0.010850338,0.022845408,0.013295932,-0.001079836,0.023366799,-0.010680522,0.023335472
st062_bl1_fo5.tif,Menardella,exilis,T1_AI_2_Images,Original,2,0.013939436,-0.01372802,0.021617158,-0.015787263,0.001277945,0.006965869,-0.015863654,0.024525876,-0.016085054,0.001970166
st049_bl1_fo2.tif,Menardella,limbata,T2_AI_4_Images,Original,4,0.043289233,0.005486646,-0.016799821,-0.002619178,-0.008017167,0.044521961,0.003184198,-0.031533548,0.001594843,-0.008063476
st049_bl1_fo3.tif,Menardella,limbata,T2_AI_4_Images,Original,4,0.022859018,0.01944302,-0.006812406,-0.000891497,0.008566254,0.025066422,0.018720897,-0.008236414,-0.000928506,0.00776524
st049_bl1_fo4.tif,Menardella,limbata,T2_AI_4_Images,Original,4,-0.015528318,0.018551074,-0.011186008,0.010516438,-0.030435022,-0.020477291,0.018534158,-0.009829137,0.010441312,-0.030520383
st049_bl2_fo1.tif,Menardella,limbata,T2_AI_4_Images,Original,4,-0.027504167,0.03924355,-0.00386617,-0.001357642,-0.002531884,-0.035566691,0.027515129,-0.001196724,-0.001360847,-0.002338987
st050_bl1_fo1.tif,Menardella,exilis,T2_AI_4_Images,Original,4,0.032320828,-0.005309148,0.000534149,-0.013469877,-0.017033178,0.033975293,-0.004196394,-0.002032074,-0.012522307,-0.016981806
st050_bl1_fo2.tif,Menardella,exilis,T2_AI_4_Images,Original,4,0.029935603,0.006590821,0.008827805,0.001086929,-0.02837814,0.030140232,0.005244117,0.006857603,0.002576483,-0.028980349
st050_bl1_fo3.tif,Menardella,exilis,T2_AI_4_Images,Original,4,0.008683537,-0.016887691,0.035431531,0.017092755,-0.009469478,0.00845382,-0.018465823,0.034345273,0.017684426,-0.008881493
st050_bl1_fo4.tif,Menardella,exilis,T2_AI_4_Images,Original,4,0.011040386,-0.003534192,0.008039564,0.032192459,0.007755641,0.010439039,-0.002728829,0.006446667,0.031769951,0.00725678
st050_bl1_fo5.tif,Menardella,exilis,T2_AI_4_Images,Original,4,-0.004021441,-0.017921174,0.023258098,-0.008868807,-0.010246169,-0.004155364,-0.01835642,0.024072933,-0.009230295,-0.01001502
st051_bl1_fo1.tif,Menardella,pertenuis,T2_AI_4_Images,Original,4,-0.014418384,0.022453273,0.008670465,-0.019376923,0.017200496,-0.011689852,0.022400578,0.008246205,-0.019200999,0.018153039
st051_bl1_fo2.tif,Menardella,pertenuis,T2_AI_4_Images,Original,4,-0.030802578,0.018774223,-0.003497841,0.001135959,-0.014917867,-0.045213569,-0.001987413,-0.001627938,0.000303734,-0.008027771
st051_bl1_fo3.tif,Menardella,pertenuis,T2_AI_4_Images,Original,4,-0.032194585,-0.010788008,-0.006069891,-0.015944423,-0.001362794,-0.033129445,-0.010101205,-0.004937337,-0.017391685,-0.001573934
st051_bl1_fo4.tif,Menardella,pertenuis,T2_AI_4_Images,Original,4,-0.03442146,0.012615284,-0.003590305,-0.003155061,0.006888539,-0.039399924,0.005287986,-0.000604676,-0.00350199,0.005546817
st051_bl1_fo5.tif,Menardella,pertenuis,T2_AI_4_Images,Original,4,-0.027604369,-0.018795899,-0.006316749,0.014954438,-0.002716053,-0.031473714,-0.024193543,-0.004932066,0.014768103,-0.001213934
st061_bl1_fo2.tif,Menardella,pertenuis,T2_AI_4_Images,Original,4,0.024705656,0.019750549,-0.015479582,0.005299794,0.01955062,0.027313154,0.020257535,-0.019809242,0.005799513,0.017602303
